Site;Category
facebook.com;Social Networks
yahoo.com;Web Portals
live.com;Search Engines
wikipedia.org;Dictionaries & Encyclopedias
msn.com;Web Portals
microsoft.com;Software
blogspot.com;Blogging Resources & Services
baidu.com;Web Portals
qq.com;Email & Messaging
mozilla.com;Internet Clients & Browsers
sina.com.cn;Web Portals
wordpress.com;Blogging Resources & Services
bing.com;Search Engines
adobe.com;Programming
163.com;Web Portals
taobao.com;Shopping
soso.com;Entertainment
twitter.com;Email & Messaging
youku.com;Video Clips & Movie Downloads
ask.com;Search Engines
sohu.com;Web Portals
amazon.com;Shopping
windows.com;Windows
ebay.com;Auctions
yahoo.co.jp;Web Portals
myspace.com;Social Networks
apple.com;Mac
tudou.com;Photo & Video Sharing
conduit.com;Advertising & Marketing
hotmail.com;Email & Messaging
flickr.com;Photo & Video Sharing
photobucket.com;Photo & Video Sharing
tianya.cn;Online Communities
about.com;How-To & Expert Content
cnet.com;Technology News
hao123.com;Online Directories
iefxz.com;
xunlei.com;TV Programs
paypal.com;Merchant Services & Payment Systems
rapidshare.com;File Sharing & Hosting
go.com;Web Portals
fc2.com;Blogging Resources & Services
bbc.co.uk;News & Current Events
imdb.com;Movies
orkut.com;Social Networks
sogou.com;Web Portals
56.com;Multimedia Content
aol.com;Web Portals
craigslist.org;Classifieds
rakuten.co.jp;Shopping Portals & Search Engines
imageshack.us;File Sharing & Hosting
ku6.com;Multimedia Content
blogger.com;Blogging Resources & Services
goo.ne.jp;Web Services
ifeng.com;News & Current Events
linkedin.com;Social Networks
yandex.ru;Search Engines
mail.ru;Email & Messaging
partypoker.com;Cards & Casino Games
megaupload.com;File Sharing & Hosting
answers.com;Dictionaries & Encyclopedias
alibaba.com;Management & Corporate Operations
hi5.com;Social Networks
cnn.com;News & Current Events
amazon.co.jp;Shopping Portals & Search Engines
4shared.com;File Sharing & Hosting
ameblo.jp;Blogging Resources & Services
gougou.com;Web Services
skype.com;VOIP & Internet Telephony
renren.com;Social Networks
dailymotion.com;Video Clips & Movie Downloads
naver.com;Search Engines
weather.com;Weather
mozilla.org;Internet Clients & Browsers
mediafire.com;File Sharing & Hosting
bit.ly;File Sharing & Hosting
hp.com;Educational Resources
